goods_no,p_female,brand_name,title
6040384,0.9933,디스커버리 익스페디션,유니 프레시벤트 네이처 반팔티셔츠 (L.Peach)
6227665,0.9933,휠라,테니스 Drywave 레이피케 반팔티(FS262RS11U003191)
6302382,0.9933,아레나,아레나라이프 여성 반팔 티셔츠 A6ML1RT71NOR
4499889,0.9932,더마일,블랙홀 이센셜 스웨트 후드 OATMEAL
5497616,0.9932,다운블로우,여성 스포츠 골프웨어 하프넥 반폴라 티셔츠 DBC 6510W
6080050,0.9932,디써티원,레터링 자수 반소매 티셔츠(화이트)
6108810,0.9932,디스커버리 익스페디션,여성 프레시벤트 포켓 우븐 반팔티셔츠 (WHITE)
6187312,0.9932,디스커버리 익스페디션,여성 프레시벤트 보트 와펜 반팔티셔츠 (WHITE)
5918435,0.9931,지블랙,아카이브 패션위크   롱슬리브(BLACK-WHITE PRINT)
6076818,0.9931,디스커버리 익스페디션,여성 슬림 크롭 반팔티셔츠 (WHITE)
6134174,0.9930,지블랙,스타셀렉션 센타포인트 스타 오버핏 반팔(WHITE)
6190360,0.9930,휠라,Coldwave 트리코트 반팔티(FS262RS02U007001)
3306367,0.9929,어뉴브로스,프레이아 트랙 브이넥 반팔티셔츠 4 Color [ANSV_1501]
3389579,0.9929,웨닐,클럽88 오버핏 반팔티셔츠 4 Color [WASE_2004]
5081144,0.9929,다운블로우,여성 스포츠 사이드 슬릿 루즈핏 커버업 반팔 DBC1904W
6112160,0.9929,르꼬끄,유니 러닝 에어리 루즈핏 반팔 피스테 - 민트 QR223EWT41
6350994,0.9929,스핏싯,SPITXIT PHANTOM SHIFT 티셔츠 5 COLOR
6410615,0.9929,더블유브이프로젝트,프레임샷 반팔티셔츠 다크그레이 ISST7868
6469945,0.9929,휠라,테니스 Drywave 클럽매치 자카드 카라티(FS262TS11U001586)
6852085,0.9929,베트랙트,켓트레인 복서 오버핏 반팔티 [BLACK]
1978955,0.9928,어프로브드,클래식 로고 티셔츠 블랙
6169257,0.9928,더블유브이프로젝트,케빈 반팔티셔츠 라이트그린 JIST7851
1322319,0.9927,폴루션,BASIC LONG SLV T
6029244,0.9927,디스커버리 익스페디션,여성 프레시벤트 네이처 크롭 반팔티셔츠 (BLACK)
6139740,0.9927,디스커버리 익스페디션,유니 프레시벤트 익스플로어 그래픽 반팔티셔츠 (BLACK)
6227662,0.9927,휠라,테니스 Drywave 레이피케 반팔티(FS262RS11U003001)
6746898,0.9927,원헌드레드퍼센트,OHPxJOY4 페이버릿모닝 피그먼트 반팔티
1020191,0.9926,메리제임스,[남녀공용-오버핏]TRUE LOVE HALF SLEEVE (5 COLOR)
6017598,0.9926,다운블로우,여성 골프웨어 소매 배색 카라 반팔 티셔츠 DBC 1914W
6371262,0.9926,엄브로,[QUICK-DRY] 다이아몬드 이스케이프 바캉스 프레쉬 반팔 티셔츠 그린 UR223CRS58
6505427,0.9926,엄브로,[COOLING] 아이스코튼 웨이브 그래픽 반팔 티셔츠 화이트 UR221CRS63
6739611,0.9926,뎃츠잇,매일입는 피그먼트 반팔티 네이비
5176781,0.9925,비비씨어스,크랙 다람쥐 프린트 반팔 티셔츠_Cream
5495458,0.9925,그렉노먼,폴리스판 카라넥 반팔티셔츠_화이트
6061121,0.9925,디스커버리 익스페디션,여성 프레시벤트 서프보드 반팔티셔츠 (WHITE)
6101666,0.9925,디스커버리 익스페디션,여성 프레시벤트 래글런 우븐 반팔티셔츠 (D/IVORY)
6739688,0.9925,뎃츠잇,매일입는 피그먼트 반팔티 핑크
4253190,0.9924,스트라이크,Signature Studs Artful Splatter Tee (CREAM)
6296870,0.9924,프로-스펙스,여성 드라이엑스 반팔 티셔츠
6638378,0.9924,이우트,STAY TOGETHER T-SHIRT / BLUE
4107458,0.9923,수아트,킵고잉 티셔츠 탄
4161203,0.9923,유에프씨 스포츠,UFC 웨이브 슬림 크롭핏 반팔 티셔츠 다크블루 U4SSV2214DL
5015657,0.9923,엄브로,비치클럽 아치 레터링 그래픽 반팔 티셔츠 화이트(UQ223CRS51)
5739689,0.9923,수아트,애뽀 티셔츠
6087406,0.9923,디스커버리 익스페디션,여성 러닝 슬리브리스 (L/INDIGO)
6169252,0.9923,더블유브이프로젝트,박시 크롭 반팔티셔츠 화이트 MMST7858
6364479,0.9923,휠라,테니스 소프트 폴리피케 카라티(FS262TS11U004650)
2148561,0.9922,스터퍼,Illusion HOODIE
3377313,0.9922,그라픽,키키 오버핏 반팔티셔츠 6 Color [GRSE_2002]
3897820,0.9922,세컨스킨,모달 레이어드 긴팔탑
4282823,0.9922,티저트,"아이스크림 프린팅 여름 면 반팔티셔츠 (화이트, 블랙, 데님) DS_09"
5954804,0.9922,지블랙,제니스 블랙 ARCHIVE 7부 티셔츠(PINK)
6475718,0.9922,챔피온,챔피온 X 루니툰즈 반팔 티셔츠 실베스터 White
3188700,0.9921,프랑켄모노,(16수 오버핏) 하트웨이브 반팔티
6081443,0.9921,유니폼브릿지,ubc multi stripe s/s t-shirt(womens) mint
6139656,0.9921,노티카,오션 토템 티셔츠(4colors) NTS5546
6142742,0.9921,휠라,DRY 레이피케 헨리넥 반팔티(FS262RS11U004462)
6190341,0.9921,휠라,Coldwave 에센셜 기능성 반팔티(FS262RS02U001001)
6190372,0.9921,휠라,Coldwave 트리코트 반팔티(FS262RS02U007234)
6645124,0.9921,1989스탠다드,DRAWING CAT 우먼 반소매 (SWCSTD-0270)
5229211,0.9920,모빈스알,GLACIER MESH TOP CAMO
6134226,0.9920,지블랙,스타셀렉션 스몰로고 스몰로고 오버핏 반팔(BEIGE)
2302062,0.9919,아트스피크하우스,[2Size] Storia L-Sleeve
5796063,0.9919,페이즈드,플로럴 코지탑_그레이
5959556,0.9919,지블랙,스타셀렉션  LIGHT STAR 7부 티셔츠(BLACK)
6024225,0.9919,디스커버리 익스페디션,여성 프레시벤트 네이처 크롭 반팔티셔츠 (WHITE)
235485,0.9918,메가폰,[UNISEX] EMPIRE 반팔티셔츠 - BLACK
5223469,0.9918,랜덤오프,PIXIE BIT OVER FIT T-SHIRT (3color)
6177368,0.9918,디스커버리 익스페디션,유니 프레시벤트 캐리어 그래픽 반팔티셔츠 (WHITE)
6370525,0.9918,엄브로,[QUICK-DRY] 다이아몬드 이스케이프 자동차 프레쉬 반팔 티셔츠  옐로우 UR223CRS59
6557237,0.9918,라코스테,여성 빅크록 스웻셔츠 SF634E-56G CCA
6800712,0.9918,폴루션,[2PACK] 폴루션 1.5도 반팔 티셔츠
5146227,0.9917,그레이버,[UNISEX] 슬리브하트_3color
5911744,0.9917,지블랙,패션위크 CITY  롱슬리브(KHAKI-BLACK PRINT)
5919554,0.9917,디스커버리 익스페디션,여성 슬리브리스 카라티 (WHITE)
5983877,0.9917,디스커버리 익스페디션,유니 헤비웨이트 스몰레터 반팔티셔츠 (Brown)
6015867,0.9917,디스커버리 익스페디션,유니 스몰 레이크 그래픽 반팔티셔츠 (Peach)
6087572,0.9917,스페리,[2PACK] 루즈핏 크루넥 반팔티 3 Color [SPRU_9005]
6087584,0.9917,스페리,루즈핏 크루넥 반팔티_블랙 [SPRU_0005]
6425982,0.9917,룩캐스트,[UNISEX]리브 레터링 티셔츠_화이트 / RIV LETTERING T-SHIRT_WHITE
6708161,0.9917,필루미네이트,데일리 롤업 레이어드 ST 크롭 티셔츠-3Color
3391455,0.9916,웨닐,웰니스클럽 링거 루즈핏 반팔티셔츠 4 Color [WASE_4502]
4223581,0.9916,트립션,Triple Cherry 그래픽 티셔츠 - 8 컬러
5220111,0.9916,파인드칠린,FCHl01 UV에어가드 티셔츠 화이트
6215930,0.9916,이븐시아,20수 하트 로고 스트라이프 반팔 티셔츠
6410417,0.9916,제멋,포스트 레터링 반팔티셔츠 브릭레드 JIST2706
6645128,0.9916,1989스탠다드,1989 SUBCULTURE 우먼 반소매 (SWCSTD-0264)
5100292,0.9915,멧앤멜,[TOBAKE] Terrace T-shirt_White
5196774,0.9915,프로-스펙스,경량 통기 러닝 싱글렛
5897278,0.9915,그루브라임,여성 18수 그래픽 반팔 티셔츠 (3COLOR) (HRTMCTR510M)
6025009,0.9915,지블랙,스타셀렉션 스타인스타  오버핏 반팔 LIGHT PINK
6026827,0.9915,지블랙,스프레인 프린트 오버핏 반팔 NAVY
6298738,0.9915,지블랙,스타셀렉션 빅로고  위드스타 WHITE
6662018,0.9915,유씨엘에이,남녀공용 컴포트 크롭 티셔츠[SKY BLUE](UC6STA8)
3333967,0.9914,웨닐,제이드 링거 루즈핏 반팔티셔츠 4 Color [WASE_4501]
3365413,0.9914,더마일,MILE DEPT. GARMENTS CREW [WHITE]
4092732,0.9914,게인스보로,[쿨코튼] 오리지날 스타로고 티셔츠_화이트/핑크
5241031,0.9914,모빈스알,KRAKEN LAYERING TOP BLACK
5862860,0.9914,엄브로,베이직 폴리 스판 스몰로고 반팔 티셔츠 블랙 UR121SRS14
5953853,0.9914,지블랙,제니스 빅로고 7부 티셔츠(CORAL RED)
6014554,0.9914,펭귄 바이 먼싱웨어,여성 에센셜 라운드 티셔츠 다크그레이 MR122PTS34
6038830,0.9914,레킴,큐빅 크로스 롱 슬리브 (차콜)
6139796,0.9914,세르지오 타키니,W FRESCA KNIT 케이블 반팔 폴로 (L.Indigo)
7024310,0.9914,논바이러스,Scar Mesh T-shirt Dark Gray
5067065,0.9913,언티지,U넥 메탈 슬러브 티셔츠[Sliver(UNISEX)]_UTT-ST52
5071472,0.9913,네더월드,NETHERWORLD Who Made You T-Shirt Black
5086614,0.9913,언티지,메탈 민소매 티셔츠[Gold(UNISEX)]_UTT-ST67
5132706,0.9913,에트오소메,Lettering Logo Printed Tank Top (White)
5241045,0.9913,모빈스알,KRAKEN LAYERING TOP WHITE
5434929,0.9913,베트랙트,트랙라인 86 럭비져지_블랙(화이트)
6070883,0.9913,스노우피크 어패럴,소로나 여성 트로피컬 반팔 티셔츠 (S26MWFTS71) Dark Charcoal
6073875,0.9913,디스커버리 익스페디션,여성 와플 트레이닝 반팔 티셔츠 (IVORY)
6097892,0.9913,르꼬끄,유니 르프레쉬 루스터 루즈핏 반팔티 - 화이트 QR213LRS41
6753924,0.9913,스파오,[우사하나] 슬림핏 반팔 티셔츠(White)_SPRLG37U45
235483,0.9912,메가폰,[UNISEX] MELTING 반팔티셔츠 - BLACK
5012030,0.9912,체이스컬트,공용 쿨피케 카라 티셔츠-오렌지
5176777,0.9912,비비씨어스,크랙 다람쥐 프린트 반팔 티셔츠_Charcoal
5920912,0.9912,디스커버리 익스페디션,유니 헤비웨이트 포켓 반팔티셔츠 (WHITE)
6076585,0.9912,유에프씨 스포츠,UFC 고딕 릴렉스핏 반팔 티셔츠 피치 U2SSX2111PC
6165421,0.9912,크림소다랩,소매 스몰로고 어센틱 반팔 티셔츠 블랙
6190346,0.9912,휠라,Coldwave 에센셜 기능성 반팔티(FS262RS02U001191)
6254306,0.9912,오리지널데이,20수 오버핏 반팔 티셔츠 4Color
6476456,0.9912,체이스컬트,공용 쿨 카라 반팔티-FCRU5714E0P
5153764,0.9911,꼼파뇨,하트 클레프 CROP 링거 반팔티 화이트
5478839,0.9911,다운블로우,스포츠 골프웨어 PK 배색 카라 긴팔 티셔츠 DB 2511W
6129402,0.9911,마크곤잘레스,엔젤 성조기 그래픽 반팔 티셔츠 - WHITE
6297154,0.9911,프로-스펙스,유니 라이트웨이트 우븐 반팔티셔츠
6370531,0.9911,엄브로,[QUICK-DRY] 다이아몬드 이스케이프 자동차 프레쉬 반팔 티셔츠  차콜 UR223CRS59
1828938,0.9910,언리미트,RUBBER TEE (U26BTTS624)
2656970,0.9910,카비시,GOTHIC C LOGO HOODIE LIGHT GREY(CV2CFUM406A)
4107454,0.9910,수아트,킵고잉 티셔츠 화이트
4266721,0.9910,수아트,스테레오타입 모노 티셔츠 블랙
5173587,0.9910,하이퍼플,"To infinity,and beyond_TEE"
6017904,0.9910,디스커버리 익스페디션,여성 로고포인트 러닝 티셔츠 (BLACK)
6659433,0.9910,아크메드라비,JMB WOMAN FRUIT SHORT SLEEVE T-SHIRT
6852090,0.9910,겐조,유니섹스 프리 컬렉션 갓츠 겐조 파리 엠블럼 클래식 티셔츠_K263AUT101WHX
2462618,0.9909,프랑켄모노,플로링 반팔티
3380765,0.9909,체이스컬트,공용 타이포 그래픽 반팔 티셔츠-CCRU5833E0Y
4339573,0.9909,어뉴브로스,엣지 오버핏 트랙 후드티셔츠 3 Color [ANBI_8001]
5457178,0.9909,엠페브,메탈릭 하트 슬림 숏 슬리브 블랙
5968326,0.9909,지블랙,스타셀렉션 빅 로고  7부 티셔츠(PINK)
6244510,0.9909,오언더알,BATH TIME CAPY 반팔 티셔츠 (블랙)
6371242,0.9909,엄브로,[QUICK-DRY] HBL 아카이브 로고 프레쉬 반팔 티셔츠 브라운 UR224CRS52
6435680,0.9909,르꼬끄,유니 워터겸용 루즈핏 레터 그래픽 반팔티  - 베이지 QR223SRS66
6227696,0.9908,휠라,테니스 소프트 폴리피케 카라티(FS262TS11U004191)
6238388,0.9908,1993스튜디오,[FC서울x1993스튜디오] 트랙 라글란 링거 티셔츠_블랙
6503391,0.9908,언티지,로고 프린트 케이프 반팔 티셔츠[Black(UNISEX)]_UTT-ST22
3251381,0.9907,크리스첼로,(공용) 래밍 티셔츠 - (블랙 20수 오버핏)
3950975,0.9907,크리스첼로,(공용) 파리 티셔츠 - (블랙 20수 오버핏)
4223584,0.9907,트립션,Bread Set 그래픽 티셔츠 - 8 컬러
5229281,0.9907,모빈스알,BEAST MESH TOP SILVER
6025667,0.9907,지블랙,스타셀렉션 빅로고  크렉스타 NEON YELLOW
6061128,0.9907,디스커버리 익스페디션,여성 프레시벤트 네이처 세미크롭 반팔티셔츠 (D/BROWN)
6116122,0.9907,다운블로우,여성 스포츠 메쉬 기능성 쿨링 배색 베스트 DB 5113W
6190631,0.9907,휠라,테니스 COOL 소로나 그래픽 반팔티(FS262RS11X001001)
6407970,0.9907,유씨엘에이,남녀공용 UCLA 더블 라인 아치 로고 티셔츠[WHITE](UC6STA1)
6450938,0.9907,유씨엘에이,남녀공용 UCLA 더블 라인 아치 로고 티셔츠(3COLOR)(UC6STA1)
5173588,0.9906,하이퍼플,Space Diver_TEE(Space Gray)
6070881,0.9906,스노우피크 어패럴,소로나 여성 트로피컬 반팔 티셔츠 (S26MWFTS71) Deep Pink
6139800,0.9906,세르지오 타키니,W FRESCA KNIT 케이블 반팔 폴로 (Navy)
6171401,0.9906,게스,2color 별 프린트 반팔 티셔츠 OQ2K5447
6211303,0.9906,낫유즈얼,심볼에포트 오버핏 반팔티 4color
6343137,0.9906,더랭크,BURNING HEAT CIRCLE OVER FIT T-SHIRTS [WHITE]
5015661,0.9905,엄브로,비치클럽 라인 드로잉 그래픽 반팔 티셔츠 화이트(UQ223CRS53)
6025829,0.9905,지블랙,스타셀렉션 빅로고  위드스타 NEON YELLOW
6190368,0.9905,휠라,Coldwave 트리코트 반팔티(FS262RS02U007191)
5875185,0.9904,디스커버리 익스페디션,여성 스탬프 세미오버핏 반팔티셔츠 (BLACK)
6193724,0.9904,언리미트,HAWAII TEE (U26BTTS616)
4107414,0.9903,수아트,스테레오타입 피그먼트 워싱 티셔츠 카키그린
6153604,0.9903,키르시,워딩 루즈핏 피그먼트 티셔츠 [라이트 핑크]
4328865,0.9902,엘런아시,로고 레이어드 오버핏 반팔 티셔츠
6040391,0.9902,디스커버리 익스페디션,유니 스몰 리프 그래픽 반팔티셔츠 (L/MINT)
6190354,0.9902,휠라,Coldwave 에센셜 기능성 반팔티(FS262RS02U001472)
6271603,0.9902,리복,스포츠 풋볼 저지 반팔티 - 레드
